['Tc:19.1', 'Turb:785', 'Time:0d0h5m2s']
Time: 0d0h5m2s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:786', 'Time:0d0h5m3s']
Time: 0d0h5m3s, Temp: 19.1, Turbidity: 786
['Tc:19.1', 'Turb:785', 'Time:0d0h5m4s']
Time: 0d0h5m4s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m4s']
Time: 0d0h5m4s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m5s']
Time: 0d0h5m5s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m5s']
Time: 0d0h5m5s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m6s']
Time: 0d0h5m6s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m6s']
Time: 0d0h5m6s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m7s']
Time: 0d0h5m7s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m7s']
Time: 0d0h5m7s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m8s']
Time: 0d0h5m8s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m9s']
Time: 0d0h5m9s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m9s']
Time: 0d0h5m9s, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m10']
Time: 0d0h5m10, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m10']
Time: 0d0h5m10, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m11']
Time: 0d0h5m11, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m11']
Time: 0d0h5m11, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m12']
Time: 0d0h5m12, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m12']
Time: 0d0h5m12, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m13']
Time: 0d0h5m13, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m13']
Time: 0d0h5m13, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m14']
Time: 0d0h5m14, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m15']
Time: 0d0h5m15, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:786', 'Time:0d0h5m15']
Time: 0d0h5m15, Temp: 19.1, Turbidity: 786
['Tc:19.1', 'Turb:785', 'Time:0d0h5m16']
Time: 0d0h5m16, Temp: 19.1, Turbidity: 785
['Tc:19.1', 'Turb:785', 'Time:0d0h5m16']
Time: 0d0h5m16, Temp: 19.1, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h5m17']
Time: 0d0h5m17, Temp: 19.0, Turbidity: 785
['Tc:19.0', 'Turb:785', 'Time:0d0h5m17']
Time: 0d0h5m17, Temp: 19.0, Turbidity: 785
['Tc:18.9', 'Turb:559', 'Time:0d0h5m18']
Time: 0d0h5m18, Temp: 18.9, Turbidity: 559
['Tc:18.9', 'Turb:643', 'Time:0d0h5m18']
Time: 0d0h5m18, Temp: 18.9, Turbidity: 643
['Tc:18.8', 'Turb:645', 'Time:0d0h5m19']
Time: 0d0h5m19, Temp: 18.8, Turbidity: 645
['Tc:18.8', 'Turb:459', 'Time:0d0h5m20']
Time: 0d0h5m20, Temp: 18.8, Turbidity: 459
['Tc:18.8', 'Turb:458', 'Time:0d0h5m20']
Time: 0d0h5m20, Temp: 18.8, Turbidity: 458
['Tc:18.8', 'Turb:490', 'Time:0d0h5m21']
Time: 0d0h5m21, Temp: 18.8, Turbidity: 490
['Tc:18.8', 'Turb:453', 'Time:0d0h5m21']
Time: 0d0h5m21, Temp: 18.8, Turbidity: 453
['Tc:18.7', 'Turb:478', 'Time:0d0h5m22']
Time: 0d0h5m22, Temp: 18.7, Turbidity: 478
['Tc:18.7', 'Turb:416', 'Time:0d0h5m22']
Time: 0d0h5m22, Temp: 18.7, Turbidity: 416
['Tc:18.6', 'Turb:470', 'Time:0d0h5m23']
Time: 0d0h5m23, Temp: 18.6, Turbidity: 470
['Tc:18.6', 'Turb:466', 'Time:0d0h5m23']
Time: 0d0h5m23, Temp: 18.6, Turbidity: 466
['Tc:18.6', 'Turb:464', 'Time:0d0h5m24']
Time: 0d0h5m24, Temp: 18.6, Turbidity: 464
['Tc:18.6', 'Turb:472', 'Time:0d0h5m25']
Time: 0d0h5m25, Temp: 18.6, Turbidity: 472
['Tc:18.6', 'Turb:466', 'Time:0d0h5m25']
Time: 0d0h5m25, Temp: 18.6, Turbidity: 466
['Tc:18.5', 'Turb:442', 'Time:0d0h5m26']
Time: 0d0h5m26, Temp: 18.5, Turbidity: 442
['Tc:18.5', 'Turb:443', 'Time:0d0h5m26']
Time: 0d0h5m26, Temp: 18.5, Turbidity: 443
['Tc:18.4', 'Turb:449', 'Time:0d0h5m27']
Time: 0d0h5m27, Temp: 18.4, Turbidity: 449
['Tc:18.5', 'Turb:464', 'Time:0d0h5m27']
Time: 0d0h5m27, Temp: 18.5, Turbidity: 464
['Tc:18.4', 'Turb:449', 'Time:0d0h5m28']
Time: 0d0h5m28, Temp: 18.4, Turbidity: 449
['Tc:18.4', 'Turb:452', 'Time:0d0h5m28']
Time: 0d0h5m28, Temp: 18.4, Turbidity: 452
['Tc:18.4', 'Turb:432', 'Time:0d0h5m29']
Time: 0d0h5m29, Temp: 18.4, Turbidity: 432
['Tc:18.4', 'Turb:455', 'Time:0d0h5m30']
Time: 0d0h5m30, Temp: 18.4, Turbidity: 455
['Tc:18.4', 'Turb:456', 'Time:0d0h5m30']
Time: 0d0h5m30, Temp: 18.4, Turbidity: 456
['Tc:18.4', 'Turb:459', 'Time:0d0h5m31']
Time: 0d0h5m31, Temp: 18.4, Turbidity: 459
['Tc:18.4', 'Turb:437', 'Time:0d0h5m31']
Time: 0d0h5m31, Temp: 18.4, Turbidity: 437
['Tc:18.4', 'Turb:395', 'Time:0d0h5m32']
Time: 0d0h5m32, Temp: 18.4, Turbidity: 395
['Tc:18.4', 'Turb:451', 'Time:0d0h5m32']
Time: 0d0h5m32, Temp: 18.4, Turbidity: 451
['Tc:18.4', 'Turb:433', 'Time:0d0h5m33']
Time: 0d0h5m33, Temp: 18.4, Turbidity: 433
['Tc:18.4', 'Turb:411', 'Time:0d0h5m33']
Time: 0d0h5m33, Temp: 18.4, Turbidity: 411
['Tc:18.3', 'Turb:411', 'Time:0d0h5m34']
Time: 0d0h5m34, Temp: 18.3, Turbidity: 411
['Tc:18.3', 'Turb:448', 'Time:0d0h5m34']
Time: 0d0h5m34, Temp: 18.3, Turbidity: 448
['Tc:18.4', 'Turb:450', 'Time:0d0h5m35']
Time: 0d0h5m35, Temp: 18.4, Turbidity: 450
['Tc:18.3', 'Turb:451', 'Time:0d0h5m36']
Time: 0d0h5m36, Temp: 18.3, Turbidity: 451
['Tc:18.3', 'Turb:441', 'Time:0d0h5m36']
Time: 0d0h5m36, Temp: 18.3, Turbidity: 441
['Tc:18.3', 'Turb:432', 'Time:0d0h5m37']
Time: 0d0h5m37, Temp: 18.3, Turbidity: 432
['Tc:18.3', 'Turb:405', 'Time:0d0h5m37']
Time: 0d0h5m37, Temp: 18.3, Turbidity: 405
['Tc:18.3', 'Turb:430', 'Time:0d0h5m38']
Time: 0d0h5m38, Temp: 18.3, Turbidity: 430
['Tc:18.3', 'Turb:445', 'Time:0d0h5m38']
Time: 0d0h5m38, Temp: 18.3, Turbidity: 445
['Tc:18.3', 'Turb:447', 'Time:0d0h5m39']
Time: 0d0h5m39, Temp: 18.3, Turbidity: 447
['Tc:18.3', 'Turb:451', 'Time:0d0h5m39']
Time: 0d0h5m39, Temp: 18.3, Turbidity: 451
['Tc:18.3', 'Turb:444', 'Time:0d0h5m40']
Time: 0d0h5m40, Temp: 18.3, Turbidity: 444
['Tc:18.3', 'Turb:425', 'Time:0d0h5m41']
Time: 0d0h5m41, Temp: 18.3, Turbidity: 425
['Tc:18.3', 'Turb:402', 'Time:0d0h5m41']
Time: 0d0h5m41, Temp: 18.3, Turbidity: 402
['Tc:18.3', 'Turb:366', 'Time:0d0h5m42']
Time: 0d0h5m42, Temp: 18.3, Turbidity: 366
['Tc:18.3', 'Turb:373', 'Time:0d0h5m42']
Time: 0d0h5m42, Temp: 18.3, Turbidity: 373
['Tc:18.3', 'Turb:419', 'Time:0d0h5m43']
Time: 0d0h5m43, Temp: 18.3, Turbidity: 419
['Tc:18.3', 'Turb:422', 'Time:0d0h5m43']
Time: 0d0h5m43, Temp: 18.3, Turbidity: 422
['Tc:18.3', 'Turb:410', 'Time:0d0h5m44']
Time: 0d0h5m44, Temp: 18.3, Turbidity: 410
['Tc:18.3', 'Turb:439', 'Time:0d0h5m44']
Time: 0d0h5m44, Temp: 18.3, Turbidity: 439
['Tc:18.3', 'Turb:445', 'Time:0d0h5m45']
Time: 0d0h5m45, Temp: 18.3, Turbidity: 445
['Tc:18.3', 'Turb:446', 'Time:0d0h5m46']
Time: 0d0h5m46, Temp: 18.3, Turbidity: 446
['Tc:18.3', 'Turb:414', 'Time:0d0h5m46']
Time: 0d0h5m46, Temp: 18.3, Turbidity: 414
['Tc:18.3', 'Turb:400', 'Time:0d0h5m47']
Time: 0d0h5m47, Temp: 18.3, Turbidity: 400
['Tc:18.3', 'Turb:443', 'Time:0d0h5m47']
Time: 0d0h5m47, Temp: 18.3, Turbidity: 443
['Tc:18.3', 'Turb:442', 'Time:0d0h5m48']
Time: 0d0h5m48, Temp: 18.3, Turbidity: 442
['Tc:18.3', 'Turb:433', 'Time:0d0h5m48']
Time: 0d0h5m48, Temp: 18.3, Turbidity: 433
['Tc:18.3', 'Turb:437', 'Time:0d0h5m49']
Time: 0d0h5m49, Temp: 18.3, Turbidity: 437
['Tc:18.3', 'Turb:439', 'Time:0d0h5m49']
Time: 0d0h5m49, Temp: 18.3, Turbidity: 439
['Tc:18.3', 'Turb:442', 'Time:0d0h5m50']
Time: 0d0h5m50, Temp: 18.3, Turbidity: 442
['Tc:18.3', 'Turb:450', 'Time:0d0h5m51']
Time: 0d0h5m51, Temp: 18.3, Turbidity: 450
['Tc:18.3', 'Turb:432', 'Time:0d0h5m51']
Time: 0d0h5m51, Temp: 18.3, Turbidity: 432
['Tc:18.3', 'Turb:436', 'Time:0d0h5m52']
Time: 0d0h5m52, Temp: 18.3, Turbidity: 436
['Tc:18.2', 'Turb:448', 'Time:0d0h5m52']
